title,price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
"BÁN CẮT LỖ 150 TRIỆU CĂN HỘ 2PN, 85M2, CELESTA RISE- KEPPEL LAND, - 120532779","5,138 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","60,45 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,Đông,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,85 m²,
Cần bán căn hộ Ipark An Sương 78m2 2PN 2.8ty căn góc nội thất cao cấp - 120049249,"2,8 tỷ","40DN10, Đường Nguyễn Văn Quá, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","35,90 triệu/m²",2 phòng,2 phòng,Nam,Đã bàn giao,Đông,Đang chờ sổ,Chung cư,Nội thất cao cấp,78 m²,Căn góc
Bán Căn Studio Có Sổ Hồng - Sở Hửu Lâu Dài chung cư Pegasuite 2 Quận 8 - 120532439,"1,56 tỷ","996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",60 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Officetel,,26 m²,
BÁN CĂN HỘ Q7 BOULEVARD 2PN 2WC - CHỦ ĐẦU TƯ HƯNG THỊNH - 116271422,"2,45 tỷ","Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",35 triệu/m²,2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Hợp đồng đặt cọc,Chung cư,Hoàn thiện cơ bản,70 m²,
BÁN CĂN 1 PHÒNG NGỦ DIAMOND LOTUS RIVERSIDE 2.9 TỶ - 120254973,"2,9 tỷ","49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh",58 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
Cần bán CH 2P - mới 100% - Giá chỉ từ 44tr/m2 - Liền kề PMH - 120286450,"2,192 tỷ",", Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","36,88 triệu/m²",2 phòng,1 phòng,Nam,Đã bàn giao,Đông,Đang chờ sổ,Chung cư,Nội thất cao cấp,59.44 m²,
Hình sao nhà vậy - 2PN - 97 m2 Sunrise city bán 5.95 tỷ - 120532100,"5,95 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","60,10 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,99 m²,
"Vinhomes Grandpark, nơi Khởi Đầu của những ước mơ. DT 60m 2PN giá tốt. - 120532050","3,268 tỷ","Nguyễn xiển, Phường Thạnh Mỹ Lợi, Quận 2, Tp Hồ Chí Minh","54,47 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,60 m²,
"Siêu Phẩm Căn 3PN/2WC - DT 82,3 m2 - Tầng Cao Thoáng - Glory Heights - 118671261","4,1 tỷ",Nguyễn Xiển,"49,82 triệu/m²",3 phòng,2 phòng,Nam,Đã bàn giao,Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,82.3 m²,
Bán căn hộ Sài Gòn Town - 2pn & 2wc - view ngoài - 119064491,"1,65 tỷ",Thoại Ngọc Hầu,"27,50 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất đầy đủ,60 m²,
Bán căn hộ chung cư Phú Nhuận - SHR - 117431985,"3,3 tỷ","Đường Nguyễn Kiệm, Phường 3, Quận Phú Nhuận, Tp Hồ Chí Minh",44 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,75 m²,
Bán căn hộ Richstar 2pn & 3pn - view ngoài - Bank cho vay - 119788556,"3,3 tỷ","239 – 241 – 278 , Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","50,77 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,65 m²,Căn góc
"Căn góc 2PN2WC 71m2 Đông Nam-Đông Bắc giá bán 2,59Ty NTCB Rèm máy lạnh - 120531615","2,59 tỷ","D7, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh","36,48 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,71 m²,Căn góc
Chính chủ căn bán căn hộ 53m2 2PN1WC chung cư Osimi Gò Vấp - 120531484,"2,69 tỷ","Số 3, Đường Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","50,75 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,Căn góc
Cần Bán Căn Hộ Stu Toà BS8 Giá Tốt Miễn Lãi Suất Vay - 119429140,"2,1 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","66,88 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,31.4 m²,
"CĂN HỘ MẶT TIỀN NGUYỄN VĂN LINH LIỀN KỀ PHÚ MÝ HƯNG, VIVO CITY - 119870217","1,5 tỷ","Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","41,67 triệu/m²",1 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,36 m²,
"Bán Căn hộ Duplex, 1 trệt, 1 lầu, 150m2 ngay MT Phạm Thế Hiển, Quận 8. - 119873805","4,99 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","33,27 triệu/m²",2 phòng,3 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Sổ hồng riêng,Duplex,Hoàn thiện cơ bản,150 m²,
Siê Phẩm Căn Góc 3PN/2WC - DT 82.2m2 - Phân Khu The Beverly Solari - 119706249,"4,17 tỷ","KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","50,73 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,82.2 m²,
"Bán căn hộ Midtown 77m2, giá 8.1 tỷ - 120531111","8,1 tỷ","Lô M8, Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","105,19 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,77 m²,
CĂN 2PN 2WC BÁN NHANH GIÁ TỐT - 119846583,"3,65 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","52,14 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,70 m²,
"Thanh lí rẻ căn 62m2 2pn 2wc giá 1,880 tỉ bao thuế phí sang tên - 119507395","1,88 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","30,32 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,62 m²,
Chung cư Gò Dầu. Lầu 1. DT 45m2 có 1 pn. SH riêng lâu dài - 120480930,"1,68 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","37,33 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,45 m²,
🎉 BÁN GẤP  AK5 2PN GIÁ CỰC TỐT 3.330 TỶ TAI AKARI CITY BÌNH TÂN. 🎊 - 120480926,"3,33 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","44,40 triệu/m²",2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,75 m²,0
BÁN CĂN HỘ 57 2PN-2WC DREAM HOME RIVERSIDE Q8 - 118810769,"1,39 tỷ","Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","24,39 triệu/m²",2 phòng,2 phòng,Tây Bắc,Chưa bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,57 m²,
"Bán căn góc loại có lửng La Astoria, hỗ trợ vay ngân hàng - 117714611","4,1 tỷ","Số 383, Bình Trưng Tây, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh","37,27 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,110 m²,Căn góc
"Bán gấp căn 2PN, 3PN 75m2 - 107m2 chung cư homyland riverside quận 2 - 113640592","3,38 tỷ","Bình Trưng Tây, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh","45,07 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,75 m²,
BÁN GẤP CHUNG CƯ NGAY TRUNG TÂM LINH CHIỂU - 51m2 - GIÁ CHỈ 1.99 tỷ Tl - 120479655,"1,99 tỷ","Đường Kha Vạn Cân, Phường Linh Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","39,02 triệu/m²",2 phòng,,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,51 m²,
Chung Cư Vision 3pn giá cực rẻ nhà mới đẹp thoáng - 93941413,"1,89 tỷ","Quận Bình Tân, Tp Hồ Chí Minh","22,77 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,Nam,Hợp đồng mua bán,Chung cư,,83 m²,Căn góc
"BÁN CĂN GÓC VIEW SÔNG, 125M2, TẦNG 18, SỔ HỒNG, CÓ KHÁCH THUÊ NHÀ - 119673673","4,13 tỷ","370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","33,04 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,125 m²,Căn góc
"Bán Duplex view sông, 3PN, 145m2, sân vườn riêng, có sổ hồng. - 119324885","5,4 tỷ","370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","37,24 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Sổ hồng riêng,Duplex,Hoàn thiện cơ bản,145 m²,
"BÁN CĂN 2PN, SÂN VƯỜN RIÊNG, TẦNG 5, SỔ HỒNG CẦM TAY - 119459122","3,7 tỷ","370, 370 370 Nguyễn Văn Quỳ, phường Phú Thuận, quận 7, Tp.HCM, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","39,78 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,93 m²,
"CĂN HỘ 68M2, 2 PN, CC VIVA RIVERSIDE VÕ VĂN KIỆT, CHỈ 2 TỶ 99 - 120478737","2,99 tỷ","Đường Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh","43,97 triệu/m²",2 phòng,1 phòng,Tây Bắc,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,68 m²,Căn góc
Bán căn hộ Hưng Ngân căn 1PN Sổ hồng sẵn - 119009354,"1,55 tỷ","Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","27,68 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,56 m²,
"Mở Bán The Global City Quận 2,Ưu Đãi Khủng Khi Booking, Gần Trung Tâm - 120478477",5 tỷ,"The Global City, Phường An Phú, TP. Thủ Đức, TP. Hồ Chí Minh, Phường An Phú, Quận 2, Tp Hồ Chí Minh","90,91 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,55 m²,
Giỏ Hàng Chuyển Nhượng Giá Tốt Vinhomes Grand Park Quận 9 - 120478465,"2,6 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","37,68 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,69 m²,
"Chính chủ bán gấp căn hộ 307 Lô C, CC Sư Vạn Hạnh, Q.5 - 120478270","3,6 tỷ","307 Lô C, chung cư Sư Vạn Hạnh, Đường Sư Vạn Hạnh, Phường 9, Quận 5, Tp Hồ Chí Minh",45 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,80 m²,Căn góc
VINHOMES CENTRAL PARK HIẾM 1 PN CHUYỂN NHƯỢNG - 120477607,"5,68 tỷ","208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","107,17 triệu/m²",1 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,53 m²,
VINHOMES CENTRAL PARK 3PN CHUYỂN NHƯỢNG - 120477583,"11,5 tỷ","208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","113,86 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,101 m²,
"GIỎ HÀNG BÁN CHUNG CƯ AN GIA SKY LINE 2PN-3PN GIÁ CỰC RẺ CHỈ 2,79 TỶ - 120477438","2,79 tỷ","Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","48,10 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,58 m²,
"💥Ngộp Bank bán gấp Ruby 3PN-2WC(84m2) Có ban công, view hồ sinh thái💥 - 120477386","3,821 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","45,49 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,84 m²,
"NGỘP BANK BÁN NHANH CĂN GÓC 86M2/ 2,885 TỶ - CC DIMAOND RIVERSIDE. - 120477140","2,885 tỷ","Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","33,55 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,86 m²,
Căn hộ 𝐃𝐄𝐋𝐀𝐒𝐎𝐋 | 74m2 - 2PN 2WC - giá 6.6 tỷ - hỗ trợ vay LS tốt - 120476881,"6,6 tỷ","Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh","89,19 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,74 m²,
DƯƠNG QUẢNG HÀM CC 2PN 45M2 FULL NỘI THẤT GẦN TRƯỜNG ĐẠI HỌC VĂN LANG - 119669305,"1,85 tỷ","đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","41,11 triệu/m²",2 phòng,2 phòng,Đông Nam,Chưa bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,45 m²,
"Chủ Cần Tiền Cần Bán Nhanh Căn 3PN 103m2 Giá 8,2 tỷ Và Nhiều Căn 1-2PN - 118671292","8,2 tỷ","334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","79,61 triệu/m²",3 phòng,2 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,103 m²,
Bán căn hộ 58m2 |2PN 1WC | City view - Đông Bắc - 120476059,"2,85 tỷ","Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","49,14 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,58 m²,
BÁN CĂN 2PN CHUNG CƯ PHÚC LỘC THỌ NGÃ TƯ THỦ ĐỨC - 119036888,"1,989 tỷ","số 35, Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh","25,18 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,79 m²,Căn góc
BBÁN CĂN HỘ MIẾU NỔI 2PN 1WC NHÀ MỚI CAO CẤP 3TY350 - 120000473,"3,35 tỷ","Vũ Huy Tấn, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh","50,76 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,66 m²,
"GIỎ HÀNG BÁN CHUNG CƯ CAO CẤP RIVER PANORAMA 2PN-3PN GIÁ CHỈ 2,6 TỶ - 120475733","2,6 tỷ","Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","47,27 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,55 m²,
"Akari City-Cần bán Căn hộ 02PN,75m2, view hướng nam - Giá 3,25 tỷ - 120475560","3,25 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","43,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,75 m²,
Bán CH Diamond Riverside Võ Văn Kiệt P16 Q8 2PN - 120475183,"2,68 tỷ","Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","36,71 triệu/m²",2 phòng,2 phòng,Tây,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,73 m²,Căn góc
Chỉ Hơn 1TY Là Có Căn Chung Cư 48m2 SHR Đường Thống Nhất P16 - 116569302,"1,43 tỷ","Đường Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","29,79 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,48 m²,
Chính chủ cần bán chung cư An Sương Quận 12 - 120474663,"1,62 tỷ","Lô B3, Đường Nguyễn Văn Quá, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","33,09 triệu/m²",1 phòng,1 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,48.95 m²,
"Chính chủ gửi bán căn Officetel, Lavida Plus Quận 7 chỉ 1,75 tỷ - 120447561","1,75 tỷ","Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","46,05 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Officetel,Hoàn thiện cơ bản,38 m²,
"Bán officetel Rivergate 31m2 tầng cao, view sông đẹp, giá chỉ 2.3 tỷ - 120474305","2,3 tỷ","151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","74,19 triệu/m²",1 phòng,1 phòng,Đông Bắc,Đã bàn giao,Tây Nam,Hợp đồng mua bán,Officetel,Nội thất cao cấp,31 m²,Căn góc
"Bán gấp căn hộ 138m2 Cc Hà Đô Centrosa 3PN+ Full Nội thất giá 14,5 tỷ - 115526581","14,5 tỷ","Số 200, 12, Phường 12, Quận 10, Tp Hồ Chí Minh","105,07 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,138 m²,
"Kẹt tiền bán nhanh căn hộ Kingdom101 2PN Full Nội thất cao cấp 5,5 tỷ - 115568217","5,5 tỷ","334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","75,34 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất cao cấp,73 m²,
"Bán lỗ 1PN Masteris Full nội thất, DT 51m2, giá 2,850 tỷ - 120474016","2,85 tỷ","Long Thạnh Mỹ, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","55,88 triệu/m²",1 phòng,1 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,51 m²,
"Bán River Panorama Quận 7, 90m2 3PN*2WC NTCB, view sông. Giá 3tỉ900 - 120409004","3,9 tỷ","Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","43,33 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,90 m²,Căn góc
CHỈ CẦN CÓ 950 TR- SỞ HỮU NGAY CĂN HỘ CĂN GÓC CAO CẤP TẠI TP. HCM! - 118505601,"2,85 tỷ","Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","33,53 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,85 m²,
🎄💋BÁN GẤP CĂN HỘ HOÀNG KIM THẾ GIA 59M2 2PN-2WC💋🎄 - 119567886,"2,32 tỷ","Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","39,32 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,59 m²,
Bán Nhiều Căn Hộ Có Sổ Liền Kề Bình Thạnh Quốc Lộ 13 70m2 Giá 2 tỷ - 119047868,"2,05 tỷ","Đường Quốc lộ 13, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","29,29 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,70 m²,
Chuyển Công Tác Bán Nhanh Căn Hộ 60m2 2Pn 2wc Có Sổ Tặng Full Nội Thất - 113341932,2 tỷ,"Đường số 6, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","33,33 triệu/m²",2 phòng,,Tây Nam,Đã bàn giao,Đông Bắc,1,Chung cư,Nội thất đầy đủ,60 m²,Căn góc
"Bán nhanh căn hộ Lovera Vista - 52m2 sổ hồng giá 1,8 tỷ - 112593687","1,88 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","36,15 triệu/m²",1 phòng,1 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,52 m²,Căn góc
"Bán căn 65.6m2 (2PN+2WC) sổ hồng Lovera Vista view hồ bơi giá 2,35 tỷ - 112259296","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,88 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,65.5 m²,
"Bán căn 65m2 thiết kế 2PN + 2WC sổ hồng Lovera Vista giá 2,35 tỷ - 113085628","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,88 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,65.5 m²,
"Bán căn hộ 65m2 - 2PN+2WC View Quận 1 trung tâm giá 2,35 Tỷ - 112702991","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,88 triệu/m²",2 phòng,2 phòng,Tây Nam,Chưa bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,65.5 m²,
"Căn hộ Lovera Vista 65m2 - 2PN,2WC view Q1 trung tâm giá 2,35 Tỷ - 112702707","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,88 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,65.5 m²,
"Bán Căn hộ Lovera Vista 65m2 - 2PN + 2WC view Quận 1 giá 2,35 Tỷ - 112702603","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","36,15 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,65 m²,
"Bán nhanh căn góc 70m2 - 2PN+2WC sổ hồng Lovera Vista giá 2,4 tỷ - 109778672","2,4 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","34,29 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,70 m²,
Căn Hộ 2PN 2wc 60m2 Đã có sổ hồng Tặng Full nội thất Vay được 80% - 116076086,"2,05 tỷ","Đường số 6, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","34,17 triệu/m²",2 phòng,2 phòng,Tây Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,60 m²,Căn góc
"CH Western Cappital đường Lý Chiêu Hoàng, Q6, 2PN 1WC, 53m², Nhỉnh 2tỷ - 120473083","2,15 tỷ","Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh","40,57 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,53 m²,
"BÁN GẤP CĂN 2PN+ DIỆN TÍCH LỚN BS, VIEW HỒ BƠI GIÁ CHỈ 2TY750 ALL IN - 120472386","2,75 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","37,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,73 m²,Căn góc
Bán Gấp Căn 1-2-3PN CC KINGDOM 101 Quận 10 Giá Tốt - 112152152,"5,3 tỷ","334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","73,61 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,72 m²,
GIÁ RẺ BÁN GẤP CĂN OFFICETEL SUNRISE CITYVIEW QUẬN 7 - 118584902,"1,93 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","49,49 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Đang chờ sổ,Officetel,,39 m²,
"bán căn La Astoria loại có lửng 3.2 tỷ 3PN - 3WC, Hỗ trợ vay ngân hàng - 114609118","3,2 tỷ","Số 383, Bình Trưng Tây, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh","35,96 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,89 m²,
B.Á.N CĂN GÓC CÓ LỬNG DIỆN TÍCH LỚN 3PN - 3WC - 119543428,"5,3 tỷ","Số 383, Bình Trưng Tây, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh","37,86 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,140 m²,Căn góc
