price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
7 tỷ,Cập nhật 3 ngày trước,"85,37 triệu/m²",5 phòng,,,5,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,82 m²
"5,95 tỷ",Cập nhật 3 ngày trước,"148,75 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,40 m²
"7,30 tỷ","37/7, Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","90,46 triệu/m²",10 phòng,,Tây Bắc,44,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"9,50 tỷ","Đường số 25, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","118,75 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,20 m,,80 m²
"1,59 tỷ","Cạnh Ủy Ban Phường B' Lao, Trần Quốc Toản, Phường B'lao, Thành phố Bảo Lộc, Lâm Đồng","3,84 triệu/m²",2 phòng,,Đông,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,9 m,,,
"2,59 tỷ","Đường Trần Bình Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ","39,24 triệu/m²",2 phòng,1 phòng,Tây Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"13,79 tỷ","Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","100,66 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,6 m,,,
"1,90 tỷ","25/10R,  đội cung, Phường 11, Quận 11, Tp Hồ Chí Minh","111,76 triệu/m²",1 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,4.6 m,4 m,,
"1,35 tỷ","DN9, Phường Hoà Phú, Thành phố Thủ Dầu Một, Bình Dương","13,50 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"5,20 tỷ","Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","86,67 triệu/m²",4 phòng,5 phòng,Nam,3,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,,
"4,09 tỷ","Đặng Văn Ngữ, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","68,17 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12 m,,60 m²
"2,25 tỷ",Cập nhật 3 ngày trước,"49,45 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,45.5 m²
"4,95 tỷ",Cập nhật 3 ngày trước,"141,43 triệu/m²",4 phòng,4 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"4,90 tỷ","Tây Tựu, Phường Tây Tựu, Quận Bắc Từ Liêm, Hà Nội","163,33 triệu/m²",3 phòng,3 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",,4.5 m,,32 m²,
7 tỷ,Cập nhật 3 ngày trước,"85,37 triệu/m²",5 phòng,,,5,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,82 m²
"5,95 tỷ",Cập nhật 3 ngày trước,"148,75 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,40 m²
"7,30 tỷ","37/7, Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","90,46 triệu/m²",10 phòng,,Tây Bắc,44,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"9,50 tỷ","Đường số 25, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","118,75 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,20 m,,80 m²
"1,59 tỷ","Cạnh Ủy Ban Phường B' Lao, Trần Quốc Toản, Phường B'lao, Thành phố Bảo Lộc, Lâm Đồng","3,84 triệu/m²",2 phòng,,Đông,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,9 m,,,
"2,59 tỷ","Đường Trần Bình Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ","39,24 triệu/m²",2 phòng,1 phòng,Tây Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"13,79 tỷ","Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","100,66 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,6 m,,,
"1,90 tỷ","25/10R,  đội cung, Phường 11, Quận 11, Tp Hồ Chí Minh","111,76 triệu/m²",1 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,4.6 m,4 m,,
"1,35 tỷ","DN9, Phường Hoà Phú, Thành phố Thủ Dầu Một, Bình Dương","13,50 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,5 m,,,
"5,20 tỷ","Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","86,67 triệu/m²",4 phòng,5 phòng,Nam,3,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,,
"4,09 tỷ","Đặng Văn Ngữ, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","68,17 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12 m,,60 m²
"1,50 tỷ",Cập nhật 3 ngày trước,"136,36 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,11 m²
"5,60 tỷ","Lê Thị Riêng, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","79,77 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5.2 m,13.5 m,,70.2 m²
"5,60 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","82,35 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,15 m,,68 m²
"3,05 tỷ","Đường 26 Tháng 3, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","101,67 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3 m,10 m,,
"2,80 tỷ","Đường Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh","73,68 triệu/m²",2 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"2,45 tỷ","Mặt tiền kinh doanh nhỏ , Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","76,56 triệu/m²",2 phòng,1 phòng,Đông Nam,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"1,50 tỷ",Cập nhật 3 ngày trước,"136,36 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,11 m²
"5,60 tỷ","Lê Thị Riêng, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","79,77 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,5.2 m,13.5 m,,70.2 m²
"5,60 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","82,35 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,15 m,,68 m²
"3,05 tỷ","Đường 26 Tháng 3, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","101,67 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3 m,10 m,,
"2,80 tỷ","Đường Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh","73,68 triệu/m²",2 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"2,45 tỷ","Mặt tiền kinh doanh nhỏ , Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","76,56 triệu/m²",2 phòng,1 phòng,Đông Nam,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"1,73 tỷ","Đường Trần Đại Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","19,22 triệu/m²",5 phòng,5 phòng,Tây Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"5,98 tỷ",Cập nhật 3 ngày trước,"213,57 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,28 m²
"4,75 tỷ","Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","84,82 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"8,80 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","104,76 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,21 m,,84 m²
800 triệu,"., Phường Bình Hòa, Thành phố Thuận An, Bình Dương","6,96 triệu/m²",3 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5 m,,,
"8,40 tỷ","Phố Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","186,67 triệu/m²",6 phòng,,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,45 m²,
"3,45 tỷ","Đường Nguyễn Văn Cừ, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",69 triệu/m²,2 phòng,2 phòng,Đông Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,
525 triệu,"An Hạ, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh","1,75 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,10 m,30 m,,
13 tỷ,"Đường Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, Hà Nội","154,76 triệu/m²",3 phòng,4 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,,84 m²,
"3,55 tỷ","TX40, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",71 triệu/m²,5 phòng,5 phòng,Tây Bắc,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"8,70 tỷ","đường số 4B, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","135,94 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
"7,50 tỷ","Đường Thới An 16, Phường Thới An, Quận 12, Tp Hồ Chí Minh","66,96 triệu/m²",6 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,28 m,,112 m²
"6,80 tỷ","Đường số 6, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",85 triệu/m²,4 phòng,4 phòng,Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,,,
"5,40 tỷ","Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","103,85 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,3.5 m,,,
"6,80 tỷ","Đường số 6, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",85 triệu/m²,4 phòng,4 phòng,Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,,,
"5,40 tỷ","Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","103,85 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,3.5 m,,,
"8,90 tỷ","TX33, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","40,11 triệu/m²",7 phòng,,Đông,3,Đã có sổ,Nhà phố liền kề,Hoàn thiện cơ bản,5 m,,,
"11,20 tỷ","38B, THẠNH LỘC 29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","22,09 triệu/m²",5 phòng,Nhiều hơn 6 phòng,Tây Bắc,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,,,
"18,50 tỷ","Hẻm 391 Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh","256,94 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4.2 m,17.2 m,,
"1,78 tỷ",Cập nhật 3 ngày trước,"55,63 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,32 m²
"19,90 tỷ","THẠNH XUÂN 24, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","42,80 triệu/m²",nhiều hơn 10 phòng,,Đông Bắc,3,Đã có sổ,Nhà phố liền kề,,11 m,41 m,,
"5,90 tỷ","39, Đường Cô Bắc, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh","151,28 triệu/m²",4 phòng,5 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3 m,,,
"4,99 tỷ","TL29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","68,36 triệu/m²",8 phòng,6 phòng,Tây Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"17,50 tỷ","Đường Số 6, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","194,44 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,,,
"2,65 tỷ","47, Đường Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","101,92 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,25 m,12 m,,
"8,40 tỷ","LÊ TRỌNG TẤN, Phường Định Công, Quận Hoàng Mai, Hà Nội",200 triệu/m²,5 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,3.4 m,,,
26 tỷ,"Đường Cô Bắc, Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh","371,43 triệu/m²",3 phòng,3 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4 m,,,
"2,30 tỷ","Đường Huỳnh Văn Nghệ, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai","22,55 triệu/m²",3 phòng,2 phòng,,2,Đã có sổ,Nhà biệt thự,Nội thất đầy đủ,7 m,,,
"1,25 tỷ","Đường Thạnh Lộc 08, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","54,35 triệu/m²",3 phòng,3 phòng,,3,Sổ chung / công chứng vi bằng,Nhà phố liền kề,Hoàn thiện cơ bản,3.2 m,,,
"7,35 tỷ","Đường Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","131,25 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"6,50 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","101,56 triệu/m²",4 phòng,5 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
"2,35 tỷ","Đường Nguyễn Trường Tộ, Xã Đặng Cương, Huyện An Dương, Hải Phòng","36,15 triệu/m²",3 phòng,3 phòng,Tây Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,
600 triệu,"2012 lê văn lương , Đường Nguyễn Bình, Xã Phước Lộc, Huyện Nhà Bè, Tp Hồ Chí Minh",30 triệu/m²,1 phòng,1 phòng,Tây Nam,1,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"4,80 tỷ","Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","95,90 triệu/m²",2 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,14 m,83 m²,
"6,50 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","101,56 triệu/m²",4 phòng,5 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
"2,35 tỷ","Đường Nguyễn Trường Tộ, Xã Đặng Cương, Huyện An Dương, Hải Phòng","36,15 triệu/m²",3 phòng,3 phòng,Tây Nam,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,
600 triệu,"2012 lê văn lương , Đường Nguyễn Bình, Xã Phước Lộc, Huyện Nhà Bè, Tp Hồ Chí Minh",30 triệu/m²,1 phòng,1 phòng,Tây Nam,1,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"4,80 tỷ","Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","95,90 triệu/m²",2 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,14 m,83 m²,
"6,80 tỷ","Đường Lê Hồng Phong, Phường 4, Thành phố Đà Lạt, Lâm Đồng","60,71 triệu/m²",1 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,14 m,,,
"9,20 tỷ","154/9D, Đường Âu Cơ, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh","143,75 triệu/m²",4 phòng,5 phòng,Đông Nam,44,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,89 tỷ","Trịnh đình trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","152,11 triệu/m²",2 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3 m,7.5 m,,
"6,50 tỷ","Đường Sư Vạn Hạnh, Phường 10, Quận 10, Tp Hồ Chí Minh","120,37 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.1 m,,,
850 triệu,Cập nhật 1 ngày trước,"28,33 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,30 m²
9 tỷ,"Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","108,43 triệu/m²",4 phòng,5 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,5 m,,,
"6,50 tỷ",Cập nhật 18 giờ trước,"75,58 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,86 m²,86 m²
"3,29 tỷ",Cập nhật 3 ngày trước,"59,82 triệu/m²",4 phòng,,,,,"Nhà ngõ, hẻm",,,,,55 m²
"4,65 tỷ","188, Đường Chiến Lược, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","89,42 triệu/m²",4 phòng,3 phòng,Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"2,65 tỷ","Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","17,91 triệu/m²",1 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,6 m,,,
"1,20 tỷ","., Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","16,67 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,18 m,,
"3,48 tỷ",Cập nhật 18 giờ trước,"84,88 triệu/m²",3 phòng,1 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,72 m²,
"7,20 tỷ","Đường Bắc Sơn - Long Thành, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai","16,67 triệu/m²",3 phòng,,Đông Nam,,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,72 m,,
"13,50 tỷ","Đường số 1A, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","107,14 triệu/m²",1 phòng,1 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,21 m,,
"5,15 tỷ","Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","73,57 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,6.5 m,,,
"7,30 tỷ","Đường Lê Sát, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","130,36 triệu/m²",4 phòng,4 phòng,Tây,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.5 m,,,
"7,30 tỷ","Đường Lê Sát, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","130,36 triệu/m²",4 phòng,4 phòng,Tây,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.5 m,,,
470 triệu,Cập nhật 3 ngày trước,"27,65 triệu/m²",1 phòng,1 phòng,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,17 m²
"8,89 tỷ",Đông Bắc,"85,48 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,26 m,104 m²,
"1,25 tỷ","Đường Nguyễn Thượng Hiền, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",125 triệu/m²,2 phòng,1 phòng,Đông Bắc,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"6,15 tỷ","Ngõ 79 Cầu Giấy, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","198,39 triệu/m²",3 phòng,3 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,3.1 m,,160 m²,
"7,60 tỷ","Phố Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","111,76 triệu/m²",9 phòng,Nhiều hơn 6 phòng,Tây Nam,5,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"11,80 tỷ","Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","147,50 triệu/m²",4 phòng,,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,20 m,210 m²,
"5,75 tỷ",Cập nhật 3 ngày trước,"143,75 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,40 m²
"4,65 tỷ","1/Phan Văn Hớn., Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","48,95 triệu/m²",3 phòng,,Tây,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,19 m,190 m²,
850 triệu,"Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","35,42 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,3 m,8 m,48 m²,
"7,98 tỷ","Đường Hòa Hưng, Phường 13, Quận 10, Tp Hồ Chí Minh","117,35 triệu/m²",3 phòng,3 phòng,Đông Nam,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"2,83 tỷ","Liên Xã , Xã Vĩnh Hoà, Huyện Phú Giáo, Bình Dương","1,13 triệu/m²",2 phòng,2 phòng,Bắc,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,24 m,,,
"3,79 tỷ",Cập nhật 3 ngày trước,"126,33 triệu/m²",3 phòng,2 phòng,Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"12,80 tỷ","Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",128 triệu/m²,3 phòng,4 phòng,Tây Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
11 tỷ,"Đường số 3, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","137,50 triệu/m²",5 phòng,4 phòng,,4,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,4 m,,,
"7,50 tỷ","Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","220,59 triệu/m²",7 phòng,3 phòng,Đông Bắc,4,Đã có sổ,"Nhà ngõ, hẻm",,6 m,,,
"1,40 tỷ","Đường Số 1, Xã Long Thượng, Huyện Cần Giuộc, Long An",35 triệu/m²,2 phòng,2 phòng,Tây Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,90 tỷ","Đường Nguyễn Gia Thiều, Phường Phú Hậu, Thành phố Huế, Thừa Thiên Huế",50 triệu/m²,4 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,5 m,,,
18 tỷ,"Đường số 16, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",120 triệu/m²,8 phòng,6 phòng,Đông,5,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,,,
"2,35 tỷ","Đường Đỗ Tấn Phong, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","146,88 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.1 m,,,
"2,35 tỷ","Đường Đỗ Tấn Phong, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","146,88 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.1 m,,,
"1,59 tỷ",Cập nhật 3 ngày trước,"72,27 triệu/m²",3 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,22 m²,
"7,80 tỷ",Cập nhật 3 ngày trước,"125,81 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,62 m²
"4,50 tỷ","Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","79,51 triệu/m²",4 phòng,3 phòng,Đông Nam,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,
"26,80 tỷ","Đặng Văn Ngữ, Phường Nam Đồng, Quận Đống Đa, Hà Nội","352,63 triệu/m²",6 phòng,6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,36 m,,76 m²,
"5,30 tỷ","ĐƯỜNG 182, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","101,92 triệu/m²",4 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,12 m,,
6 tỷ,"Đường Đô Đốc Long, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",80 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,4.1 m,19 m,,
