price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
"8,50 tỷ","Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","118,06 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,72 m²
250 triệu,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",781.250 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,320 m²
"6,70 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","78,82 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,85 m²
"16,90 tỷ","222, Đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","238,03 triệu/m²",,Đã có sổ,Văn phòng,,71 m²
"5,50 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","47,83 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,115 m²
9 tỷ,"Đường 359, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","101,12 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,89 m²
"10,60 tỷ","Đường Tân Lập 1, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",106 triệu/m²,Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
21 tỷ,"Đường Lê Văn Việt, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","238,64 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,,88 m²
11 tỷ,"Đường Quang Trung, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","84,23 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,130.6 m²
968 triệu,"Đường Nguyễn Tri Phương, Phường 4, Quận 10, Tp Hồ Chí Minh","40,33 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,24 m²
68 tỷ,"Đường Apd 27, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",40 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,1700 m²
"10,80 tỷ","1, Đường Út Tịch, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh","337,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,32 m²
300 triệu,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh",12 triệu/m²,Tây,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,25 m²
"2,40 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",48 triệu/m²,,Đã có sổ,Shophouse,Hoàn thiện cơ bản,50 m²
"5,80 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","38,41 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,151 m²
290 triệu,"Đường Cộng Hoà, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",725.000 đ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,400 m²
480 triệu,"37, TL41, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","1,60 triệu/m²",Đông Bắc,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,300 m²
"2,30 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",46 triệu/m²,,Đã có sổ,Shophouse,Hoàn thiện cơ bản,50 m²
145 triệu,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,81 triệu/m²",Nam,Đang chờ sổ,Shophouse,Bàn giao thô,80 m²
"9,50 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","79,17 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,,120 m²
105 tỷ,"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","725,64 triệu/m²",,Đã có sổ,Văn phòng,,144.7 m²
"2,40 tỷ","138, Phường Tân Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","23,30 triệu/m²",,Đang chờ sổ,Shophouse,Bàn giao thô,103 m²
440 triệu,"Hương Lộ 3, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,20 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
365 tỷ,"Số 10, Mai Chí Thọ, Phường An Lợi Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","261,09 triệu/m²",,Đã có sổ,Shophouse,,1398 m²
"17,45 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","73,01 triệu/m²",Tây Bắc,Đang chờ sổ,Shophouse,Bàn giao thô,239 m²
350 triệu,"Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh","4,38 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,80 m²
250 triệu,"Cộng Hoà, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","1,67 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,150 m²
"89,90 tỷ","Đường Âu Cơ, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh","140,47 triệu/m²",Đông,Đã có sổ,Văn phòng,Hoàn thiện cơ bản,640 m²
900 triệu,"Đường Phan Huy ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",900.000 đ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1000 m²
"7,80 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","58,65 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,133 m²
"7,70 tỷ","Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","81,05 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,95 m²
290 triệu,"Đường Song Hành Quốc Lộ 22, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","1,04 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,280 m²
"3,70 tỷ","Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","59,68 triệu/m²",Tây Bắc,Giấy tờ khác,Shophouse,Hoàn thiện cơ bản,62 m²
170 tỷ,"284-286-288, Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","726,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,234 m²
"16,90 tỷ","Đường Âu Cơ, Phường 14, Quận 11, Tp Hồ Chí Minh","281,67 triệu/m²",,Đã có sổ,Văn phòng,Nội thất đầy đủ,60 m²
"2,40 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","46,15 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,52 m²
10 triệu,"135/45, Đường Phạm Đăng Giảng, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",178.571 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,56 m²
6 tỷ,"Đường Miếu Bình Đông, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","136,36 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,44 m²
"9,50 tỷ",Võ Văn Tần ,"202,13 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,47 m²
16 tỷ,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","132,23 triệu/m²",Tây Bắc,Đang chờ sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,121 m²
115 tỷ,"Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","102,63 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,1120.5 m²
"12,90 tỷ","Đường Nguyễn Thức Tự, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","161,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,80 m²
"17,93 tỷ","Võ Chí Công, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","61,40 triệu/m²",,Đã có sổ,Shophouse,Bàn giao thô,292 m²
"25,50 tỷ","Hiệp Bình Phước, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","66,23 triệu/m²",,Đã có sổ,Văn phòng,,385 m²
15 tỷ,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","176,47 triệu/m²",,Đang chờ sổ,Shophouse,,85 m²
42 tỷ,"Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","347,11 triệu/m²",,Đã có sổ,Officetel,,121 m²
13 tỷ,"Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","6,05 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,2150 m²
15 tỷ,"Đường Xuân Thới Thượng 2, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",30 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,500 m²
"6,50 tỷ","xuân thới thựơng 2, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","27,08 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,240 m²
"23,50 tỷ","Đường Trần Văn Chầm, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","20,28 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1159 m²
50 tỷ,"Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",10 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,5000 m²
"10,80 tỷ","Đường Đại Lộ 2, Phường Phước Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",120 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,90 m²
330 triệu,"Bàu Cát, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","3,30 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
800 triệu,"Kênh Tân Hóa, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",1 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,800 m²
200 triệu,"Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","1,54 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,130 m²
200 triệu,"Bờ Bao, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,50 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,80 m²
650 triệu,"Đường Hoàng Diệu 2, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,11 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,209 m²
"5,10 tỷ","TL44 Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","63,75 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,80 m²
"5,30 tỷ","Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","77,94 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,68 m²
"27,50 tỷ","Đường Cù Lao, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","323,53 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,85 m²
21 tỷ,"Đường Trấn Đại Nghĩa, Xã Lê Minh Xuân, Huyện Bình Chánh, Tp Hồ Chí Minh",42 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,500 m²
21 tỷ,"Đường Kha Vạn Cân, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",70 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,300 m²
"17,50 tỷ","Số 2, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","145,83 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,120 m²
40 tỷ,"Đường Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","88,85 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,450.2 m²
"8,60 tỷ","Đường Trương Văn Thành, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","143,33 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,60 m²
"13,20 tỷ","Số 9 , Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,132 m²
"7,70 tỷ","Đường 96, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","71,30 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,108 m²
"10,50 tỷ","Đường Dân Chủ, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","114,13 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,92 m²
"6,30 tỷ","Đường Phạm Thế Hiển, Phường 5, Quận 8, Tp Hồ Chí Minh",105 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,60 m²
11 tỷ,"Đường 449, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","137,50 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,80 m²
"19,50 tỷ","Đường số 27, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","126,62 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,154 m²
10 tỷ,"Đường Trương Văn Thành, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","106,38 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,94 m²
26 tỷ,"Đường 3 Tháng 2, Phường 10, Quận 10, Tp Hồ Chí Minh","619,05 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,42 m²
"7,30 tỷ","Đường Man Thiện, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","77,13 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,94.65 m²
500 triệu,"976a, Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,39 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,360 m²
65 triệu,"Hẻm 30 Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",902.777 đ/m²,,Đã có sổ,Shophouse,,72 m²
"14,50 tỷ","Đường Nguyên Hồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","131,82 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,110 m²
12 tỷ,"XTT 4 , Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",24 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,500 m²
30 tỷ,"Đường Ấp Tân Thới 2, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh","33,41 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,898 m²
"3,20 tỷ","Đường Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Tp Hồ Chí Minh","266,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,12 m²
30 tỷ,"Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","303,95 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,98.7 m²
26 tỷ,"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",260 triệu/m²,,Giấy tờ khác,Shophouse,Bàn giao thô,100 m²
26 tỷ,"Đường Hồng Lĩnh, Phường 15, Quận 10, Tp Hồ Chí Minh","240,74 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,108 m²
"5,80 tỷ","288 , Đường Phạm Văn Sáng, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","51,79 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,112 m²
"13,50 tỷ","102, Xuân Thới Thượng 4, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","24,73 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,546 m²
35 tỷ,"Đường Hồ Bá Phấn, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",140 triệu/m²,,Đã có sổ,Văn phòng,Hoàn thiện cơ bản,250 m²
"19,50 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","278,57 triệu/m²",,Đã có sổ,Shophouse,Nội thất đầy đủ,70 m²
"2,30 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","7,62 triệu/m²",,Đang chờ sổ,Shophouse,Bàn giao thô,302 m²
24 tỷ,"Đường Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","282,35 triệu/m²",,Giấy tờ khác,Shophouse,Bàn giao thô,85 m²
"12,50 tỷ","Đường Nguyễn Tư Nghiêm, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","102,46 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,122 m²
11 tỷ,"Đường Đại Lộ 3, Phường Phước Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",110 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
12 tỷ,"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",50 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,240 m²
"18,50 tỷ","Đường 6D, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","21,14 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,875 m²
25 tỷ,"Đường Trần Văn Chầm, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","21,55 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1160 m²
"12,50 tỷ","Đường Đặng Công Bỉnh, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh","17,56 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,712 m²
"6,50 tỷ","Đường Quốc Lộ 13 Cũ, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","117,12 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,55.5 m²
"7,90 tỷ","Đường Nguyễn Thượng Hiền, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","111,27 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,71 m²
"10,30 tỷ","Đường Đào Tông Nguyên, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","51,50 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,,200 m²
"6,86 tỷ","Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","42,09 triệu/m²",,Đang chờ sổ,Shophouse,,163 m²
22 tỷ,"Đường Số 5, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","90,91 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,242 m²
"5,40 tỷ","G28A, Đường số 50, Phường 6, Quận 4, Tp Hồ Chí Minh","122,73 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,,44 m²
11 tỷ,"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","39,15 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,281 m²
165 tỷ,"Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","126,92 triệu/m²",Đông Nam,Đã có sổ,Officetel,Bàn giao thô,1300 m²
"2,20 tỷ","25, Đường Số 45, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","32,35 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,68 m²
42 tỷ,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","80,31 triệu/m²",,Đang chờ sổ,Shophouse,,523 m²
45 tỷ,"Hẻm C6 Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","56,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,800 m²
"10,20 tỷ","Đường số 48, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","113,33 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,90 m²
"8,58 tỷ","Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","82,50 triệu/m²",,Đã có sổ,Shophouse,,104 m²
19 tỷ,", Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","67,86 triệu/m²",Tây,Đã có sổ,Shophouse,Hoàn thiện cơ bản,280 m²
"12,80 tỷ","Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","62,75 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,204 m²
"15,90 tỷ","Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","79,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
400 triệu,"Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",2 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
280 triệu,"Lê Quang Chiểu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","3,59 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,78 m²
180 tỷ,"Đường Nguyễn Văn Kỉnh, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","562,50 triệu/m²",,Đã có sổ,Văn phòng,Nội thất đầy đủ,320 m²
"18,80 tỷ","Đường Số 5, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","187,99 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,100 m²
280 triệu,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","1,75 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,160 m²
"14,50 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",145 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
37 tỷ,Phan Văn Trị,185 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
230 triệu,"38C/3, Cây Keo, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,64 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,140 m²
765 triệu,"Đường Nguyễn Văn Ơn, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","38,25 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,20 m²
"12,10 tỷ","Đường Số 6, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","70,76 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,171 m²
12 tỷ,"Đường Trường Sa, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh","279,07 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,43 m²
12 tỷ,"Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","444,44 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,27 m²
13 tỷ,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","62,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,208 m²
"15,50 tỷ","Đường Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","101,97 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,152 m²
9 tỷ,"Đường Quốc lộ 1, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","31,47 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,286 m²
"2,45 tỷ","Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","20,42 triệu/m²",,Đã có sổ,Shophouse,,120 m²
"12,50 tỷ","Đường Nguyễn Tư Nghiêm, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","131,58 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,95 m²
65 tỷ,"Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","38,24 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1700 m²
100 triệu,"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",833.333 đ/m²,Nam,Đã có sổ,Mặt bằng kinh doanh,,120 m²
9 tỷ,"Thạnh Xuân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","26,16 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,,344 m²
25 triệu,Lê văng lương,"1,25 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,20 m²
