title,price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
"Bán Căn Hộ trệt GREEN RIVER Q8 (vừa ở, vừa KD) KDC đông đúc, Sổ Hồng - 119635470","6,6 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","43,71 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,151 m²
"Căn góc Shophouse, DreamHome Palace - Q8 - 119916805","4,4 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","55,70 triệu/m²",Tây Bắc,Giấy tờ khác,Shophouse,Hoàn thiện cơ bản,
Sang quán mặt bằng đường nguyễn văn luọng p10 - 119853565,9 triệu,"165, Đường Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",562.500 đ/m²,Đông Bắc,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,16 m²
"LAVITA GARDEN BÁN CĂN SHOP HOUSE MẶT TIỀN RỘNG, P.HỢP K.DOANH, CƯ TRÚ - 119916155",6 tỷ,"30, 3, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",75 triệu/m²,,Đang chờ sổ,Shophouse,,80 m²
Bán gấp xưởng 1500m. MT Dương Công Khi.HM xưởng hoàn công đầy đủ - 114296931,"35,499 tỷ","Dương Công Khi, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","23,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1500 m²
"Chủ bán gấp Shophouse Green River, 151m2, dòng tiền khủng 20tr/tháng - 119915742",5 tỷ,"Số 2225, Số 2225 Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","33,11 triệu/m²",,Đã có sổ,Shophouse,,151 m²
"BÁN KHÁCH SẠN Q7 ,25 phòng . Thu nhập 200tr/1tháng . - 119915662",26 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","173,33 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,150 m²
"BÁN NHÀ 2 MẶT TIỀN- P TÂN THÀNH-Q TÂN PHÚ -6,5 x 15M, 6TẦNG THANG MÁY - 119915190","13,6 tỷ","Đường Cộng Hòa 3, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","147,83 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,92 m²
Cần bán gấp karaoke đang hoạt động - 119914987,"25,5 tỷ","Quận 9, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh","151,79 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,168 m²
"SHOP THE OASIS - ĐẦU TƯ AN TOÀN, SINH LỜI AN TÂM! - 118785426","5,7 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","126,67 triệu/m²",,Giấy tờ khác,Shophouse,,45 m²
"BÁN XƯỞNG ĐÔNG THẠNH, HÓC MÔN - 119914186","6,5 tỷ","Đường Trịnh Thị Dối, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","35,71 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,182 m²
Bán nhà Mặt tiền kinh doanh đại lộ 3 Phước Bình - 116379552,"10,5 tỷ","Đường Đại Lộ 3, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh","116,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,90 m²
"Sang quán Cafe 8x25 gần ĐH Công Nghiệp-Gò Vấp, doanh thu 6-7tr/ngày - 118267243",35 triệu,"Lê Lợi, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",175.000 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,200 m²
"Bán Nhà Gần ĐH Văn Hóa 150m2 ngang 7m giá 7,9 tỷ - 119499958","7,9 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","52,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,150 m²
Chính chủ cần bán tòa nhà văn phòng.Mặt tiền hẻm 10m. Khu Vip P26. BT. - 119072838,"20,8 tỷ","Xô viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","157,58 triệu/m²",,Đã có sổ,Văn phòng,Nội thất cao cấp,132 m²
Sang quán cafe - 119908683,650 triệu,"Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh","2,17 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,300 m²
SÂng 2 mt nằm ngay gò vâp quán có lương khách cực đông ngay gò vấp - 119908185,1 tỷ,"gò vấp, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","2,50 triệu/m²",Đông Nam,Đang chờ sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,400 m²
Sang nhượng mặt tiền đường Bạch Đằng Bình Thạnh - 119908161,8 triệu,"356A, Đường Bạch Đằng, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",533.333 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,15 m²
"Gấp bán, giảm sâu, tòa nhà Karaoke,161m2 x 7 tầng, Phước Bình, Quận 9 - 119907484",23 tỷ,"Đường Đại Lộ 2, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh","143,75 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,160 m²
💰💰 Cần bán kho 500m2 mặt tiền đường Trần đại nghĩa - 119001702,21 tỷ,"Đường Trấn Đại Nghĩa, Xã Lê Minh Xuân, Huyện Bình Chánh, Tp Hồ Chí Minh",42 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,500 m²
"Dòng tiền 30Tr/Thang, 138m2 Linh Chiểu, Thủ Đức, 13 Phòng trọ, Hơn 8Tỷ - 119905075","8,9 tỷ","Đường 19, Phường Linh Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","64,49 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,138 m²
Sang shop quần áo mặt tiền Hậu Giang Q6 - 119849260,35 triệu,"305, Đường Hậu Giang, Phường 5, Quận 6, Tp Hồ Chí Minh","1,17 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,30 m²
Kho xưởng 2/Nguyễn Ảnh Thủ-Thới Tam Thôn-Hóc Môn.Dt 1544m2 thổ cư~25ty - 119439235,25 tỷ,"Đường Nguyễn Ảnh Thủ, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","16,19 triệu/m²",Nam,Đã có sổ,Văn phòng,Bàn giao thô,1544 m²
"Tòa nhà Tô Hiến Thành ,Q.10 -DT:6,5x22m -7 tầng -HĐT:175 tr -giá 45 tỷ - 119903773",45 tỷ,"Đường Tô Hiến Thành, Phường 13, Quận 10, Tp Hồ Chí Minh","340,91 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,132 m²
"Bán Shophouse chung cư khang gia 68m. Giá 2,2 tỷ - 119240425","2,2 tỷ","25, Đường số 45, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","32,35 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,68 m²
"Mặt tiền Trương Định,P6,Quận 3-DT:5,5x27m-6 tầng-HĐT:180 tr-giá 54,5tỷ - 119902840","54,5 tỷ","Đường Trương Định, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","68,12 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,800 m²
BÁN SHOPHOUSE 106m2 LUMIERE RIVERSIDE Q2 MẶT ĐƯỜNG VÕ NGUYÊN GIÁP - 115199397,26 tỷ,"Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh","245,28 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Bàn giao thô,106 m²
"Nhà phố thương mại Broadway,Ginza VHGP vừa ở vừa kinh doanh - 116234596",22 tỷ,"Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","50,23 triệu/m²",,Đang chờ sổ,Mặt bằng kinh doanh,Bàn giao thô,438 m²
BÁN SHOPHOUSE LUMIERE RIVERSIDE Q2 132m2 SỞ HỮU LÂU DÀI - 115198010,22 tỷ,", Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh","166,67 triệu/m²",Tây Bắc,Đang chờ sổ,Shophouse,Bàn giao thô,132 m²
CẦN BÁN NHÀ PHỐ THƯƠNG MẠI 437m2 VINHOMES GRAND PARK - 116213353,"21,556 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","49,25 triệu/m²",,Đang chờ sổ,Mặt bằng kinh doanh,Bàn giao thô,437.7 m²
"MT Nguyễn Thị Minh Khai ,P5,Q3 -DT:7x22m -6tầng-HĐT: 280tr-giá 58,5 tỷ - 119902725","58,5 tỷ","Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Tp Hồ Chí Minh","379,87 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,154 m²
Nhà xưởng 1.400m2 - Góc 2MT Tỉnh Lộ 8 - Gần ngã 4 Tân Quy - 119901709,26 tỷ,"Đường Tỉnh lộ 8, Xã Tân Thạnh Tây, Huyện Củ Chi, Tp Hồ Chí Minh","18,57 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1400 m²
MẶT TIỀN 2 TẦNG ĐÚC HÀ HUY GIÁP TX Q12 GIÁ RẺ 13.9 TỶ - 119850171,"13,9 tỷ","Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","69,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
MẶT TIỀN KINH DOANH TÂN THỚI NHẤT 8 QUẬN 12 GIÁ RẺ 32 TỶ - 118859313,32 tỷ,"Đường Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","69,26 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,462 m²
MẶT TIỀN KINH DOANH 4 TẦNG ĐÚC ĐÔNG HƯNG THUẬN5 Q12 GIÁ RẺ 3.69 TỶ - 119855376,"3,69 tỷ","Đông Hưng Thuận 5, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","97,11 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,38 m²
TÒA NHÀ VP KHỦNG -P4 TÂN BÌNH - 12*20-240M2-DTSD 1961M2 - CHO THUÊ 15U - 118785532,50 tỷ,"Cộng Hoà, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh","208,33 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,240 m²
"Bán nhà diện tích khủng 2 MT đường Nguyễn Thị Kiểu, Bệnh Viện Quận 12 - 119899227","14,5 tỷ","83, Nguyễn Thị Kiểu, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","118,85 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,122 m²
BÁN NHA MẶT TIỀN VỊ TRÍ ĐEP P H THÀNH Q12 KINH DOANH BUÔN BÁN - 119898650,"6,8 tỷ","ĐƯỜNG LIÊN KHU 2-5, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","112,21 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,60.6 m²
"MỞ BÁN SHOPHOUSE, 1 TRỆT, 1 LẦU. SỞ HỮU LÂU DÀI - 116143923",18 tỷ,"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","46,15 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Bàn giao thô,390 m²
căn hộ dịch vụ Hương Lộ 3 - 119898031,"8,9 tỷ","Đường 26 Tháng 3, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,11 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,8009 m²
BÁN NHÀ MT ĐƯỜNG SỐ 6 TĂNG NHƠN PHÚ B ĐANG CÓ HĐ THUÊ 35TR/THÁNG!!!! - 118459548,"12,5 tỷ","Đường số 6, Phường Tăng Nhơn Phú B, Quận 9, Tp Hồ Chí Minh","78,12 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,160 m²
"Góc 2MT Cao Thắng, Q.10 - DT: 12x12m - 6T+TM - HĐT: 120Tr - Giá :35 tỷ - 119897259",35 tỷ,"Đường Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh","243,06 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,144 m²
"GV CHDV_115TR/1 THÁNG_6 Tầng _150m2_20,05 Tỷ
Gọi *** Hải - 119897015",20 tỷ,"Đường Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","133,33 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,150 m²
"Bán nhà MT Hòa Hưng, Quận 10 - DT: 15 x25m - C4 - Giá chỉ: 75 tỷ - 119896906",75 tỷ,"Đường Hòa Hưng, Phường 12, Quận 10, Tp Hồ Chí Minh",200 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,375 m²
Mặt tiền kinh doanh buôn bán. Vị trí đẹp nhất đường liên khu 2-5 Q12 - 119896597,"6,8 tỷ","Liên Khu 2-5, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","112,21 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,60.6 m²
"Bán shophouse liền kề Tạ Quang Bửu Q8 , sổ sẵn, có HĐ thuê - 119896095","5,5 tỷ","Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","36,67 triệu/m²",,Đã có sổ,Shophouse,,150 m²
🌹10/2024 : CHỦ GIẢM CỰC MẠNH 4 -TỶ. CHỈ --.  CÒN 13.6 TỶ. - 119896048,"13,6 tỷ","Đường Thống Nhất, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",136 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,100 m²
Cần bán Shophouse MT Tạ Quang Bửu.1 trệt 1 lầu 151m2. 5tỷ2 HĐ thuê sẵn - 119895859,"5,2 tỷ","Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","34,38 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,151.24 m²
Bán gấp! Nhà MT Ng Tri Phương - DT: 7 x 10m - KC: 5T - HĐT: 70tr/T - 119895821,25 tỷ,"Đường Nguyễn Tri Phương, Phường 4, Quận 10, Tp Hồ Chí Minh","357,14 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,70 m²
"Mặt tiền kinh doanh Nguyễn Văn Quá, 50m2, chỉ nhỉnh 5 tỷ - 119895101",5 tỷ,"Đường Nguyễn Văn Quá, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,50 m²
CHÍNH CHỦ BÁN SHOPHOUSE GÓC 2 MẶT TIỀN - VỊ TRÍ ĐẸP KHU CHUNG CƯ - 119893799,"11,9 tỷ","Đường Đông Hưng Thuận 13, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","61,34 triệu/m²",,Đã có sổ,Shophouse,,194 m²
"SANG QUÁN CAFE TÂN PHÚ, MB ĐẸP - 119893100",280 triệu,"Lê Quang Chiểu, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","3,59 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,78 m²
SANG QUÁN CAFE SIÊU RẺ - 119892999,500 triệu,"Kênh Tân Hóa, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",625.000 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,800 m²
SANG QUÁN CAFE MB ĐẸP - 119892927,360 triệu,"Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","1,80 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
"Chỉ 1,85 tỷ/ 151m2 sở hữu Shophouse ngay MT Phạm Thế Hiển, Quận 8 ,SHR - 119890927","1,85 tỷ","Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","12,25 triệu/m²",Đông Nam,Đã có sổ,Shophouse,Hoàn thiện cơ bản,151 m²
Mặt tiền Phan Văn Trị p7 Gò Vấp 4x10 - 119890625,"6,6 tỷ","Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","173,68 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,,38 m²
"nhà hoàn thiện văn phòng cực đẹp 9x20m, hầm, 4L KĐT Vạn Phúc City - 119890506",31 tỷ,"Số 309, Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","172,22 triệu/m²",,Đã có sổ,Văn phòng,,180 m²
Bán kho mặt tiền Dương đình Cúc full thổ cư 825 m2 (16x30 nở hậu 24 ) - 119890190,38 tỷ,"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","46,06 triệu/m²",,Đã có sổ,Officetel,,825 m²
"Nhà HT văn phòng thang máy đường 25m 7x19m, hầm + 4 lầu, Vạn Phúc - 119890171",30 tỷ,"Số 309, Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","225,56 triệu/m²",,Đã có sổ,Văn phòng,,133 m²
"Nhà hoàn thiện văn phòng 10x17m,6 lầu đối diện Trường Emasi Vạn Phúc - 119889971",31 tỷ,"Số 309, Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","182,35 triệu/m²",,Đã có sổ,Văn phòng,,170 m²
MẶT TIỀN VÍP ĐỖ XUÂN HỢP NGAY NGÃ 3 TÂY HOÀ - 118170602,"14,5 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","146,46 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,99 m²
"HÀNG NGỘP CẦN ĐẨY NHANH NHÀ HOÀN THIỆN 7X20M,HẦM+4LẦU, VẠN PHÚC CITY - 119888723","27,5 tỷ","Số 309, Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","44,35 triệu/m²",,Đã có sổ,Văn phòng,,620 m²
Căn Shophouse Đại lộ Gamuada kinh doanh sầm uất - 119233497,28 tỷ,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","102,19 triệu/m²",Nam,Giấy tờ khác,Shophouse,Bàn giao thô,274 m²
"Tòa nhà 6 tầng 6 x 40 mặt tiền Nguyễn Thị Đặng, sàn 1000m2, ngay chợ - 111419481","20,5 tỷ","Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",82 triệu/m²,Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,,250 m²
SANG CLB BIDA GÒ VẤP - 119885960,449 triệu,"Đường số 8, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","2,44 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,184 m²
Sang Quán Bida Quận Tân Phú TPHCM - 119885309,600 triệu,"277K, Đường Kênh Tân Hoá, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","3,12 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,192 m²
Bán căn Shophuose Picity High Park hàng chủ đầu tư giá 7 tỷ sau 3 năm - 119318770,7 tỷ,"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","60,34 triệu/m²",,Đang chờ sổ,Shophouse,Nội thất cao cấp,116 m²
"NhÀ MẶT TIỀN 3,5 TẦNG TP THỦ ĐỨC GIÁ RẺ BẰNG NĂM 2018 - 119885060","8,6 tỷ","67, Đường số 12, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","97,73 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,88 m²
NHÀ MẶT TIỀN TRỤC CHÍNH TP THỦ ĐỨC GIÁ RẺ BẰNG 2018 - 119884731,"11,2 tỷ","58, Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","93,33 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,120 m²
"Bán xưởng Đẹp 1159m. Mặt tiền trần văn trẩm, Tân Thông Hội. Củ chi - 118045154","23,5 tỷ","Đường Trần Văn Chầm, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","20,28 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1159 m²
"Mặt tiền Tân Sơn Nhì - Tân Phú, ( 4x 27M) 4 TẦNG - 116221513","15,99 tỷ","Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","124,92 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,128 m²
"Cần Bán Gấp Căn Góc 2 MT 223 Nguyễn Văn Luông ,Phường 11 ,Quận 6. - 119882018",33 tỷ,"223, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh",330 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
70 tỷ bán gấp MT An Nhơn 13x64m sổ 854m2 - 119475890,70 tỷ,"An Nhơn, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","81,97 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,854 m²
Sang MB - 119881664,90 triệu,"Đường Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh","1,80 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,50 m²
"CHỈ 24 TỶ - SỞ HỮU CĂN KHÁCH SẠN ĐƯỜNG LÝ TỰ TRỌNG, P. BẾN THÀNH, - 119880670",24 tỷ,Lý Tự Trọng,400 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,60 m²
SANG TIỆM NAIL - MI - GỘI DƯỠNG SINH - 119539748,129 triệu,"95 Hồ Văn Huê , Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","1,84 triệu/m²",Đông Nam,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,70 m²
SANG QUÁN BIDA MẶT TIỀN QUẬN TÂN PHÚ - GẦN AEON TÂN PHÚ (CHÍNH CHỦ) - 119696433,690 triệu,"Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,73 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,400 m²
Cần bán gấp mặt tiền thu nhập cao - 119879120,"10,5 tỷ","Đường Nguyễn Xiển – Long Phước, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","68,18 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,154 m²
Cần bán biệt thự víp - 119878941,42 tỷ,"Bình Thạnh, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",140 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,300 m²
"Bán căn Shop mặt tiền Trịnh Quang Nghị, ngay Góc đang cho thuê - 118762857","7,8 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",50 triệu/m²,,Giấy tờ khác,Shophouse,,156 m²
"căn shophouse có sổ sẵn, ngang 9m mặt tiền khu căn hộ citihome, quận 2 - 119878365","3,2 tỷ","Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh","53,33 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,60 m²
"Bán nhà cấp 4 Mặt tiền đường TCH03, pTCH, Q12, dt 75m2 (4,15mx18m) 5,5 - 117980430","5,5 tỷ","Đường Tân Chánh Hiệp 3, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","73,33 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,75 m²
"MẶT TIỀN THÔNG PHỔ QUANG - 5.4M NGANG, 4 TẦNG, CHỈ 12 TỶ NHỈNH - 118718302",12 tỷ,"Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","218,18 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,55 m²
Mặt Tiền Nhà 5 Tầng -Tân Quy-Quận 7 -Kinh Doanh -75m- - 119875061,"19,5 tỷ","Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",260 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,75 m²
"Bán Gấp Võ Văn Tần ,P5,Quận 3-DT:9x21-4tầng-HĐT:130 triệu- giá 52,5 tỷ - 119874760","52,5 tỷ","Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh","277,78 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,189 m²
"Chủ bán 32x50 (1.612m2) ngay trạm Metro, xa lộ Hà Nội, 150 tỷ - 118838250",150 tỷ,"Số 7, Einstein, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","93,05 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1612 m²
"Mặt tiền Đường 3/2,P12 ,Quận10-DT:10X26-4tầng -HĐT:150 triệt-giá 52 tỷ - 119874147",52 tỷ,"đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",200 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,260 m²
MẶT TIỀN KINH DOANH - 5 TẦNG - ĐƯỜNG 3/2 - CÓ THANG MÁY - NHỈNH 20 TỶ - 119874133,20 tỷ,Đường Ba Tháng Hai,"66,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,300 m²
"Phan Xích Long,Q.Phú Nhuận(DT:12x20-4tầng-HĐT:110 triệu -Gía :49,5 tỷ - 119874048","49,5 tỷ","Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","206,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,240 m²
"SHOPHOUSE 57M2, SD 100M2 SỔ RIÊNG  CC SÀI GÒN  METRO PARK GIÁ 2,75 TỶ - 118646134",4 tỷ,"Đường số 11, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","70,18 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,57 m²
Bán shophouse Phú Gia- sổ sẵn - 52m2 giá 2.4 tỷ - sẵn HĐ thuê - 117360012,"2,4 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","46,15 triệu/m²",,Đã có sổ,Shophouse,,52 m²
"BÁN XƯỞNG 10x40=400m, ĐƯỜNG XE TẢI, AN PHÚ ĐÔNG, GIÁ 10.4 tỷ - 110780818","10,4 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",26 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,400 m²
